Date : 2024-10-07 13:47:36
Directory : c:\Users\45228\Desktop\share\ddos\code
Total : 137 files,  12732 codes, 846 comments, 1900 blanks, all 15478 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |         71 |     10,941 |        659 |      1,480 |     13,080 |
| C++            |         55 |      1,377 |        183 |        344 |      1,904 |
| Assembler file |          6 |        337 |          0 |         53 |        390 |
| Python         |          2 |         42 |          4 |         12 |         58 |
| Makefile       |          3 |         35 |          0 |         11 |         46 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        137 |     12,732 |        846 |      1,900 |     15,478 |
| kernel                                                                      |        109 |     10,250 |        647 |      1,550 |     12,447 |
| kernel (Files)                                                              |          1 |         25 |          0 |          4 |         29 |
| kernel\boot                                                                 |          2 |         53 |         13 |         21 |         87 |
| kernel\config                                                               |          5 |        182 |          5 |         34 |        221 |
| kernel\driver                                                               |         14 |        855 |        122 |        172 |      1,149 |
| kernel\driver (Files)                                                       |          3 |         65 |         12 |         20 |         97 |
| kernel\driver\virtio                                                        |         11 |        790 |        110 |        152 |      1,052 |
| kernel\fs                                                                   |          3 |         64 |          0 |          8 |         72 |
| kernel\kernel                                                               |         18 |      2,646 |        255 |        318 |      3,219 |
| kernel\libs                                                                 |          3 |        139 |          1 |         51 |        191 |
| kernel\mm                                                                   |         15 |      3,280 |         95 |        543 |      3,918 |
| kernel\schedule                                                             |          8 |        484 |         33 |         49 |        566 |
| kernel\syn                                                                  |         12 |      1,108 |         35 |        121 |      1,264 |
| kernel\test                                                                 |          9 |        343 |         65 |         53 |        461 |
| kernel\util                                                                 |         19 |      1,071 |         23 |        176 |      1,270 |
| user                                                                        |         28 |      2,482 |        199 |        350 |      3,031 |
| user (Files)                                                                |          1 |          6 |          0 |          3 |          9 |
| user\libs                                                                   |         25 |      1,195 |        133 |        225 |      1,553 |
| user\test                                                                   |          2 |      1,281 |         66 |        122 |      1,469 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                    | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile                      | Makefile       |         25 |          0 |          4 |         29 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\boot\entry.S                  | Assembler file |         13 |          0 |          3 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c                  | C              |         40 |         13 |         18 |         71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h               | C++            |         47 |          3 |         16 |         66 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h                | C              |         16 |          2 |          3 |         21 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\mboxbuf.h              | C              |         19 |          0 |          4 |         23 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\sigaction.h            | C              |         39 |          0 |          8 |         47 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h               | C++            |         61 |          0 |          3 |         64 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\Makefile               | Makefile       |          4 |          0 |          4 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c                 | C              |         54 |         12 |         15 |         81 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h                 | C++            |          7 |          0 |          1 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.c    | C              |        251 |         44 |         46 |        341 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.h    | C++            |         81 |         25 |         12 |        118 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.c   | C              |        104 |         10 |         26 |        140 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.h   | C++            |         48 |          0 |          6 |         54 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.c   | C              |         54 |          6 |         10 |         70 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.h   | C++            |         41 |          9 |          9 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.c    | C              |        101 |         14 |         23 |        138 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.h    | C++            |         17 |          0 |          7 |         24 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio.h        | C++            |         21 |          2 |          6 |         29 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.c | C              |         54 |          0 |          5 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.h | C++            |         18 |          0 |          2 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.h                       | C++            |          7 |          0 |          2 |          9 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.c                   | C              |         47 |          0 |          5 |         52 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.h                   | C++            |         10 |          0 |          1 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c              | C              |        109 |          2 |         11 |        122 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h              | C++            |         10 |          0 |          1 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\kernelvec.S            | Assembler file |        107 |          0 |         11 |        118 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c                 | C              |         71 |          9 |          7 |         87 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c                 | C              |         26 |          7 |          7 |         40 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.h                 | C++            |          9 |          0 |          1 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c                 | C              |        978 |        154 |         89 |      1,221 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h                 | C              |        182 |          3 |         18 |        203 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h                | C              |        200 |         48 |         57 |        305 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c             | C              |         64 |          0 |          7 |         71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h             | C++            |         26 |          2 |          2 |         30 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\swtch.S                | Assembler file |         54 |          0 |         12 |         66 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c              | C              |        152 |          5 |         11 |        168 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h              | C++            |         13 |          1 |          4 |         18 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c              | C              |        288 |          2 |         41 |        331 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trampoline.S           | Assembler file |        127 |          0 |         16 |        143 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c                 | C              |        213 |         22 |         20 |        255 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h                 | C++            |         17 |          0 |          3 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h                 | C++            |         79 |          1 |         42 |        122 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c                  | C              |         49 |          0 |          8 |         57 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h                  | C              |         11 |          0 |          1 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.c                 | C              |        226 |          1 |         29 |        256 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.h                 | C++            |          8 |          0 |          3 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c               | C              |         91 |          0 |         20 |        111 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.h               | C++            |          8 |          0 |          3 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h                | C              |         29 |         35 |         13 |         77 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c                      | C              |        664 |          9 |         78 |        751 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h                      | C++            |        155 |          5 |         41 |        201 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.c                    | C              |         71 |          0 |          8 |         79 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.h                    | C++            |         30 |          0 |          9 |         39 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c                     | C              |        385 |          1 |         69 |        455 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h                     | C              |         12 |          0 |          4 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c                     | C              |        894 |         20 |        185 |      1,099 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.h                     | C++            |         27 |          7 |          5 |         39 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c                      | C              |        606 |         10 |         57 |        673 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h                      | C++            |         74 |          7 |         19 |        100 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c              | C              |        131 |          7 |         13 |        151 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h              | C              |         50 |          1 |          5 |         56 |
