"filename", "language", "Python", "C++", "C", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c", "C", 0, 0, 385, 0, 0, 69, 454
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h", "C++", 0, 12, 0, 0, 0, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c", "C", 0, 0, 896, 0, 18, 185, 1099
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.h", "C++", 0, 27, 0, 0, 7, 5, 39
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 0, 0, 569, 0, 9, 56, 634
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h", "C++", 0, 69, 0, 0, 6, 19, 94
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c", "C", 0, 0, 50, 0, 1, 7, 58
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h", "C++", 0, 29, 0, 0, 0, 4, 33
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.c", "C", 0, 0, 41, 0, 5, 7, 53
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.h", "C++", 0, 7, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c", "C", 0, 0, 51, 0, 3, 6, 60
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.h", "C++", 0, 7, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.c", "C", 0, 0, 106, 0, 17, 13, 136
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.h", "C++", 0, 16, 0, 0, 0, 2, 18
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.c", "C", 0, 0, 361, 0, 3, 24, 388
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.h", "C", 0, 0, 50, 0, 0, 9, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.c", "C", 0, 0, 252, 0, 0, 28, 280
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.h", "C++", 0, 43, 0, 0, 0, 6, 49
