"filename", "language", "C++", "Makefile", "C", "Python", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 0, 0, 511, 0, 2, 52, 565
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h", "C++", 67, 0, 0, 0, 0, 16, 83
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c", "C", 0, 0, 83, 0, 1, 9, 93
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.h", "C++", 5, 0, 0, 0, 0, 0, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\sysdef.h", "C++", 27, 0, 0, 0, 0, 0, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 0, 0, 181, 0, 3, 21, 205
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C++", 6, 0, 0, 0, 0, 5, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c", "C", 0, 0, 2, 0, 0, 1, 3
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C++", 12, 0, 0, 0, 0, 3, 15
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 0, 60, 0, 49, 16, 125
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 4, 0, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 0, 0, 0, 19, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C++", 16, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 36, 0, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.c", "C", 0, 0, 6, 0, 1, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.h", "C++", 5, 0, 0, 0, 0, 1, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h", "C++", 58, 0, 0, 0, 0, 17, 75
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 0, 0, 46, 0, 1, 7, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 10, 0, 0, 0, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 0, 0, 171, 0, 3, 15, 189
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 15, 0, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c", "C", 0, 0, 18, 0, 6, 7, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h", "C++", 9, 0, 0, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.c", "C", 0, 0, 344, 0, 4, 52, 400
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.h", "C++", 26, 0, 0, 0, 0, 6, 32
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 7, 0, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 0, 0, 120, 0, 0, 13, 133
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C++", 17, 0, 0, 0, 0, 2, 19
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C++", 46, 0, 0, 0, 0, 15, 61
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 6, 0, 0, 0, 3, 9
"Total", "-", 1343, 31, 5426, 19, 464, 1200, 8483
