"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 0, 6, 0, 3, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h", "C++", 27, 0, 0, 1, 28
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 0, 3, -3, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 0, 123, 8, 7, 138
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C++", 10, 0, 1, 5, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h", "C", 0, 1, 0, -1, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c", "C", 0, 4, 0, 3, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 0, 25, 0, 3, 28
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h", "C++", -20, 0, 0, 2, -18
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 0, 30, 0, 1, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 0, 17, 2, 0, 19
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h", "C++", 0, 0, -113, 17, -96
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h", "C++", -1, 0, -2, 0, -3
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 0, 39, 0, 2, 41
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C++", 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c", "C", 0, 3, 0, 0, 3
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 0, 13, 2, 1, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\sysdef.h", "C++", -27, 0, 0, 0, -27
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 0, -24, 7, -3, -20
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C++", 7, 0, 0, -2, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c", "C", 0, 6, 0, 2, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C", 0, 2, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, -32, 3, 0, -29
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.c", "C", 0, 81, 1, 8, 90
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.h", "C++", 19, 0, 0, 2, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 0, 7, -1, -1, 5
"c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c", "C", 0, -1, 0, 0, -1
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c", "C", 0, -7, 0, 1, -6
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c", "C", 0, -5, 8, -1, 2
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h", "C", 0, -1, 0, -1, -2
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spinlock.c", "C", 0, -73, 0, -11, -84
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spinlock.h", "C++", -23, 0, 0, -3, -26
"c:\Users\45228\Desktop\share\ddos\code\user\libs\sysdef.h", "C++", -27, 0, 0, 0, -27
"c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h", "C++", -5, 0, 0, -3, -8
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 0, 6, 0, 2, 8
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 0, 2, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 0, 153, 7, 8, 168
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h", "C++", 4, 0, 0, 1, 5
"Total", "-", -34, 378, -80, 43, 307
