"filename", "language", "C++", "C", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h", "C++", 12, 0, 0, 0, 0, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c", "C", 0, 808, 0, 0, 4, 181, 993
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.h", "C++", 22, 0, 0, 0, 7, 6, 35
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 0, 549, 0, 0, 4, 55, 608
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h", "C++", 69, 0, 0, 0, 0, 16, 85
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c", "C", 0, 82, 0, 0, 2, 9, 93
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.h", "C++", 5, 0, 0, 0, 0, 0, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 0, 160, 0, 0, 10, 17, 187
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C++", 13, 0, 0, 0, 0, 3, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c", "C", 0, 9, 0, 0, 0, 3, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C", 0, 16, 0, 0, 0, 2, 18
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 39, 0, 0, 49, 17, 105
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 4, 0, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 0, 0, 19, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C++", 16, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.c", "C", 0, 81, 0, 0, 1, 8, 90
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.h", "C++", 19, 0, 0, 0, 0, 2, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 36, 0, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.c", "C", 0, 6, 0, 0, 1, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.h", "C++", 5, 0, 0, 0, 0, 1, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h", "C++", 58, 0, 0, 0, 0, 17, 75
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 0, 53, 0, 0, 0, 6, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 10, 0, 0, 0, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 0, 168, 0, 0, 3, 16, 187
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C", 0, 15, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c", "C", 0, 18, 0, 0, 6, 7, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h", "C++", 9, 0, 0, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.c", "C", 0, 344, 0, 0, 4, 52, 400
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.h", "C++", 26, 0, 0, 0, 0, 6, 32
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 7, 0, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 0, 128, 0, 0, 0, 14, 142
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 0, 18, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C++", 45, 0, 0, 0, 0, 15, 60
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 0, 0, 6, 0, 3, 9
"c:\Users\45228\Desktop\share\ddos\code\user\libs\assert.h", "C++", 16, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\user\libs\atomic.h", "C++", 79, 0, 0, 0, 114, 25, 218
"c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c", "C", 0, 10, 0, 0, 0, 1, 11
"c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.c", "C", 0, 77, 0, 0, 0, 7, 84
"c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.h", "C++", 7, 0, 0, 0, 0, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c", "C", 0, 55, 0, 0, 0, 13, 68
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.h", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c", "C", 0, 168, 0, 0, 10, 18, 196
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h", "C", 0, 14, 0, 0, 0, 2, 16
"c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.c", "C", 0, 7, 0, 0, 5, 5, 17
"c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.h", "C++", 7, 0, 0, 0, 0, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\user\libs\stdarg.h", "C++", 7, 0, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c", "C", 0, 128, 0, 0, 0, 14, 142
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h", "C", 0, 18, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h", "C++", 27, 0, 0, 0, 0, 9, 36
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 0, 9, 0, 0, 0, 3, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 0, 17, 0, 0, 0, 1, 18
"c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py", "Python", 0, 0, 19, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 0, 208, 0, 0, 11, 10, 229
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h", "C++", 4, 0, 0, 0, 0, 1, 5
"Total", "-", 1296, 6852, 38, 31, 506, 1391, 10114
