"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 1, 0, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 10, 0, -11, 2, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 13, 0, 0, 2, 15
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C", 5, 0, 0, 2, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 237, 0, 4, 34, 275
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h", "C++", 0, 38, 0, 11, 49
"Total", "-", 268, 38, -7, 51, 350
