"filename", "language", "C++", "C", "Assembler file", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h", "C++", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h", "C", 0, 79, 0, 0, 0, 1, 42, 122
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 0, 50, 0, 0, 0, 1, 8, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h", "C", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.c", "C", 0, 226, 0, 0, 0, 1, 29, 256
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.h", "C++", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c", "C", 0, 91, 0, 0, 0, 0, 20, 111
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.h", "C++", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h", "C", 0, 29, 0, 0, 0, 35, 13, 77
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 0, 664, 0, 0, 0, 9, 78, 751
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C++", 155, 0, 0, 0, 0, 5, 41, 201
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.c", "C", 0, 71, 0, 0, 0, 0, 8, 79
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.h", "C++", 30, 0, 0, 0, 0, 0, 9, 39
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c", "C", 0, 385, 0, 0, 0, 1, 69, 455
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h", "C", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c", "C", 0, 894, 0, 0, 0, 20, 185, 1099
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.h", "C++", 27, 0, 0, 0, 0, 7, 5, 39
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 0, 606, 0, 0, 0, 10, 57, 673
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h", "C++", 74, 0, 0, 0, 0, 7, 19, 100
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c", "C", 0, 131, 0, 0, 0, 7, 13, 151
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h", "C", 0, 50, 0, 0, 0, 1, 5, 56
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.c", "C", 0, 150, 0, 0, 0, 17, 13, 180
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.h", "C", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.c", "C", 0, 41, 0, 0, 0, 5, 7, 53
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.h", "C++", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c", "C", 0, 91, 0, 0, 0, 3, 8, 102
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.h", "C++", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.c", "C", 0, 106, 0, 0, 0, 17, 13, 136
