"filename", "language", "C", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 0, 3, 1, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.c", "C", 3, 17, 1, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.c", "C", -1, 1, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 74, -68, -1, 5
"Total", "-", 76, -47, 1, 30
