Date : 2024-11-08 17:39:29
Directory : c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs
Total : 171 files,  -32448 codes, -1137 comments, -2865 blanks, all -36450 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe_state.c          | C              |       -123 |          0 |        -15 |       -138 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe_state.h          | C++            |        -29 |          0 |         -4 |        -33 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs\sfs.c                  | C              |          5 |         -1 |          1 |          5 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs\sfs_inode.c            | C              |          3 |          3 |          0 |          6 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.c                   | C              |        -47 |          0 |         -5 |        -52 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.h                   | C++            |        -10 |          0 |         -1 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.c                | C              |        -56 |          0 |        -15 |        -71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.h                | C              |       -127 |       -122 |        -26 |       -275 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.c                  | C              |        -75 |          0 |        -10 |        -85 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.h                  | C++            |        -67 |        -83 |        -17 |       -167 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsdev.c               | C              |       -216 |        -19 |        -18 |       -253 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsfile.c              | C              |       -124 |          0 |         -9 |       -133 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfslookup.c            | C              |        -68 |         -9 |         -3 |        -80 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfspath.c              | C              |       -100 |          0 |         -9 |       -109 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c              | C              |        -98 |         -2 |        -11 |       -111 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h              | C++            |        -10 |          0 |         -1 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\kernelvec.S            | Assembler file |       -107 |          0 |        -11 |       -118 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c                 | C              |        -73 |         -9 |         -7 |        -89 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c                 | C              |        -26 |         -7 |         -7 |        -40 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.h                 | C++            |         -9 |          0 |         -1 |        -10 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c                 | C              |     -1,017 |       -154 |        -91 |     -1,262 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h                 | C              |       -187 |         -3 |        -18 |       -208 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h                | C              |       -200 |        -48 |        -57 |       -305 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c             | C              |        -64 |          0 |         -7 |        -71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h             | C++            |        -26 |         -2 |         -2 |        -30 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\swtch.S                | Assembler file |        -54 |          0 |        -12 |        -66 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c              | C              |       -166 |         -5 |        -11 |       -182 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h              | C++            |        -13 |         -1 |         -4 |        -18 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c              | C              |       -406 |        -11 |        -50 |       -467 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trampoline.S           | Assembler file |       -127 |          0 |        -16 |       -143 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c                 | C              |       -215 |        -22 |        -20 |       -257 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h                 | C++            |        -17 |          0 |         -3 |        -20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h                 | C              |        -79 |         -1 |        -42 |       -122 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c                  | C              |        -50 |         -1 |         -8 |        -59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h                  | C              |        -11 |          0 |         -1 |        -12 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.c                 | C              |       -226 |         -1 |        -29 |       -256 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.h                 | C++            |         -8 |          0 |         -3 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c               | C              |        -91 |          0 |        -20 |       -111 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.h               | C++            |         -8 |          0 |         -3 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h                | C              |        -29 |        -35 |        -13 |        -77 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c                      | C              |       -664 |         -9 |        -78 |       -751 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h                      | C++            |       -155 |         -5 |        -41 |       -201 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.c                    | C              |        -71 |          0 |         -8 |        -79 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.h                    | C++            |        -30 |          0 |         -9 |        -39 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c                     | C              |       -385 |         -1 |        -69 |       -455 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h                     | C              |        -12 |          0 |         -4 |        -16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c                     | C              |       -894 |        -20 |       -185 |     -1,099 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.h                     | C++            |        -27 |         -7 |         -5 |        -39 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c                      | C              |       -606 |        -10 |        -57 |       -673 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h                      | C++            |        -74 |         -7 |        -19 |       -100 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c              | C              |       -131 |         -7 |        -13 |       -151 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h              | C              |        -50 |         -1 |         -5 |        -56 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.c          | C              |       -150 |        -17 |        -13 |       -180 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.h          | C              |         -7 |          0 |         -1 |         -8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.c         | C              |        -41 |         -5 |         -7 |        -53 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.h         | C++            |         -7 |          0 |         -1 |         -8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c           | C              |        -91 |         -3 |         -8 |       -102 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.h           | C++            |         -7 |          0 |         -1 |         -8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.c                   | C              |       -106 |        -17 |        -13 |       -136 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.h                   | C++            |        -16 |          0 |         -2 |        -18 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.c                    | C              |       -360 |         -4 |        -24 |       -388 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.h                    | C              |        -50 |          0 |         -9 |        -59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.c                     | C              |       -252 |          0 |        -28 |       -280 |
