Date : 2024-10-18 10:29:56
Directory : c:\Users\45228\Desktop\share\ddos\code
Total : 158 files,  14607 codes, 1125 comments, 2141 blanks, all 17873 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |         91 |     12,779 |        850 |      1,712 |     15,341 |
| C++            |         55 |      1,407 |        271 |        349 |      2,027 |
| Assembler file |          6 |        337 |          0 |         53 |        390 |
| Python         |          2 |         42 |          4 |         12 |         58 |
| Makefile       |          4 |         42 |          0 |         15 |         57 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        158 |     14,607 |      1,125 |      2,141 |     17,873 |
| kernel                                                                      |        129 |     11,955 |        919 |      1,769 |     14,643 |
| kernel (Files)                                                              |          1 |         26 |          0 |          4 |         30 |
| kernel\boot                                                                 |          2 |         53 |         13 |         21 |         87 |
| kernel\config                                                               |          6 |        234 |         15 |         46 |        295 |
| kernel\driver                                                               |         14 |        855 |        122 |        172 |      1,149 |
| kernel\driver (Files)                                                       |          3 |         65 |         12 |         20 |         97 |
| kernel\driver\virtio                                                        |         11 |        790 |        110 |        152 |      1,052 |
| kernel\fs                                                                   |         22 |      1,550 |        251 |        205 |      2,006 |
| kernel\fs (Files)                                                           |          9 |        482 |          5 |         60 |        547 |
| kernel\fs\devs                                                              |          5 |        291 |         12 |         46 |        349 |
| kernel\fs\vfs                                                               |          8 |        777 |        234 |         99 |      1,110 |
| kernel\kernel                                                               |         18 |      2,786 |        264 |        327 |      3,377 |
| kernel\libs                                                                 |          3 |        140 |          2 |         51 |        193 |
| kernel\mm                                                                   |         15 |      3,280 |         95 |        543 |      3,918 |
| kernel\schedule                                                             |          8 |        484 |         33 |         49 |        566 |
| kernel\syn                                                                  |         12 |      1,108 |         35 |        121 |      1,264 |
| kernel\test                                                                 |          9 |        342 |         66 |         53 |        461 |
| kernel\util                                                                 |         19 |      1,097 |         23 |        177 |      1,297 |
| user                                                                        |         29 |      2,652 |        206 |        372 |      3,230 |
| user (Files)                                                                |          1 |          6 |          0 |          3 |          9 |
| user\libs                                                                   |         26 |      1,284 |        133 |        241 |      1,658 |
| user\test                                                                   |          2 |      1,362 |         73 |        128 |      1,563 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                    | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile                      | Makefile       |         26 |          0 |          4 |         30 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\boot\entry.S                  | Assembler file |         13 |          0 |          3 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c                  | C              |         40 |         13 |         18 |         71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h               | C              |         52 |          5 |         20 |         77 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h                | C              |         28 |          2 |          2 |         32 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\mboxbuf.h              | C              |         19 |          0 |          4 |         23 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\sigaction.h            | C              |         39 |          0 |          8 |         47 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\stat.h                 | C++            |         22 |          0 |          5 |         27 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h               | C++            |         74 |          8 |          7 |         89 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\Makefile               | Makefile       |          4 |          0 |          4 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c                 | C              |         54 |         12 |         15 |         81 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h                 | C++            |          7 |          0 |          1 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.c    | C              |        251 |         44 |         46 |        341 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.h    | C++            |         81 |         25 |         12 |        118 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.c   | C              |        104 |         10 |         26 |        140 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.h   | C++            |         48 |          0 |          6 |         54 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.c   | C              |         54 |          6 |         10 |         70 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.h   | C++            |         41 |          9 |          9 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.c    | C              |        101 |         14 |         23 |        138 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.h    | C++            |         17 |          0 |          7 |         24 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio.h        | C++            |         21 |          2 |          6 |         29 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.c | C              |         54 |          0 |          5 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.h | C++            |         18 |          0 |          2 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\Makefile                   | Makefile       |          6 |          0 |          4 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev.c                 | C              |        101 |         12 |         14 |        127 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev.h                 | C++            |         21 |          0 |          5 |         26 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_null.c            | C              |         29 |          0 |          6 |         35 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_stdin.c           | C              |         92 |          0 |         13 |        105 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_stdout.c          | C              |         48 |          0 |          8 |         56 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.c                     | C              |        221 |          3 |         19 |        243 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.h                     | C              |         43 |          1 |          6 |         50 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.c                       | C              |         66 |          1 |          8 |         75 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.h                       | C              |         34 |          0 |          9 |         43 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\iobuf.c                    | C              |         39 |          0 |          5 |         44 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\iobuf.h                    | C++            |         16 |          0 |          3 |         19 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.c                   | C              |         47 |          0 |          5 |         52 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.h                   | C++            |         10 |          0 |          1 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.c                | C              |         56 |          0 |         15 |         71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.h                | C              |        119 |        123 |         26 |        268 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.c                  | C              |         67 |          0 |          9 |         76 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.h                  | C++            |         47 |         83 |         11 |        141 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsdev.c               | C              |        216 |         19 |         18 |        253 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsfile.c              | C              |        124 |          0 |          9 |        133 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfslookup.c            | C              |         66 |          9 |          3 |         78 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfspath.c              | C              |         82 |          0 |          8 |         90 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c              | C              |         98 |          2 |         11 |        111 |
